id;account_ref;booking_date;value_date;amount_eur;counterparty;purpose_text
d0000000-0000-4000-b000-000000000001;DE89370400440532013000;2025-01-01;2025-01-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 01/2025
d0000000-0000-4000-b000-000000000002;DE89370400440532013000;2025-01-01;2025-01-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 01/2025
d0000000-0000-4000-b000-000000000003;DE89370400440532013000;2025-01-02;2025-01-03;750.00;Petersen, Jan;Miete WE-01 HH-01 01/2025
d0000000-0000-4000-b000-000000000004;DE89370400440532013000;2025-01-05;2025-01-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 01/2025
d0000000-0000-4000-b000-000000000005;DE89370400440532013000;2025-01-05;2025-01-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 01/2025
d0000000-0000-4000-b000-000000000006;DE89370400440532013000;2025-01-05;2025-01-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 01/2025
d0000000-0000-4000-b000-000000000007;DE89370400440532013000;2025-02-01;2025-02-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 02/2025
d0000000-0000-4000-b000-000000000008;DE89370400440532013000;2025-02-01;2025-02-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 02/2025
d0000000-0000-4000-b000-000000000009;DE89370400440532013000;2025-02-02;2025-02-03;750.00;Petersen, Jan;Miete WE-01 HH-01 02/2025
d0000000-0000-4000-b000-000000000010;DE89370400440532013000;2025-02-05;2025-02-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 02/2025
d0000000-0000-4000-b000-000000000011;DE89370400440532013000;2025-02-05;2025-02-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 02/2025
d0000000-0000-4000-b000-000000000012;DE89370400440532013000;2025-02-05;2025-02-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 02/2025
d0000000-0000-4000-b000-000000000013;DE89370400440532013000;2025-02-15;2025-02-15;-130.00;Finanzamt Berlin-Mitte;Grundsteuer BER-01 Q1/2025 Az 123-456-789
d0000000-0000-4000-b000-000000000014;DE89370400440532013000;2025-02-15;2025-02-15;-160.00;Finanzamt München II;Grundsteuer MUC-01 Q1/2025 Az 987-654-321
d0000000-0000-4000-b000-000000000015;DE89370400440532013000;2025-02-15;2025-02-15;-80.00;Finanzamt Hamburg-Nord;Grundsteuer HH-01 Q1/2025 Az 555-888-111
d0000000-0000-4000-b000-000000000016;DE89370400440532013000;2025-03-01;2025-03-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 03/2025
d0000000-0000-4000-b000-000000000017;DE89370400440532013000;2025-03-01;2025-03-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 03/2025
d0000000-0000-4000-b000-000000000018;DE89370400440532013000;2025-03-02;2025-03-03;750.00;Petersen, Jan;Miete WE-01 HH-01 03/2025
d0000000-0000-4000-b000-000000000019;DE89370400440532013000;2025-03-05;2025-03-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 03/2025
d0000000-0000-4000-b000-000000000020;DE89370400440532013000;2025-03-05;2025-03-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 03/2025
d0000000-0000-4000-b000-000000000021;DE89370400440532013000;2025-03-05;2025-03-05;-250.00;WEG Elbchaussee 120;Hausgeld HH-01 03/2025
d0000000-0000-4000-b000-000000000022;DE89370400440532013000;2025-04-01;2025-04-02;1150.00;Bergmann, Klaus;Miete WE-01 BER-01 04/2025
d0000000-0000-4000-b000-000000000023;DE89370400440532013000;2025-04-01;2025-04-02;1580.00;Yilmaz, Ayse;Miete WE-01 MUC-01 04/2025
d0000000-0000-4000-b000-000000000024;DE89370400440532013000;2025-04-02;2025-04-03;750.00;Petersen, Jan;Miete WE-01 HH-01 04/2025
d0000000-0000-4000-b000-000000000025;DE89370400440532013000;2025-04-05;2025-04-05;-380.00;WEG Berliner Str. 42;Hausgeld BER-01 04/2025
d0000000-0000-4000-b000-000000000026;DE89370400440532013000;2025-04-05;2025-04-05;-450.00;WEG Maximilianstr. 8;Hausgeld MUC-01 04/2025
